settimana,giorno,data,fascia,classi,scuola,citta,laboratorio,incontro,formatrice
11,04-gio,16/04/2026,11-13,"4D,4F",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,2,Margherita
11,04-gio,16/04/2026,9-13,4BSA,Liceo Scientifico G. Galilei,Pescara,citizen science,3,Ida
11,04-gio,16/04/2026,14-16,"3BLSA,4ALSA",IIS Amedeo D'Aosta,L'Aquila,citizen science,2,Anita
11,05-ven,17/04/2026,8-10,"3C,5E",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,4,Ida
12,01-lun,20/04/2026,8-10,5AL,IIS PeanoRosa,Nereto,citizen science,2,Andreea
12,01-lun,20/04/2026,9-11,"5F,5G",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,3,Anita
12,01-lun,20/04/2026,14-18,3InA,IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,4,Anita
12,01-lun,20/04/2026,14-18,"4BNO,5DNO",Lic. Scientifico Bafile,L'Aquila,orientamento e competenze,2,Anita
12,02-mar,21/04/2026,9-11,"4D,4F",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,3,Anita
12,02-mar,21/04/2026,9-11,"4O,5D",Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,2,Anita
12,02-mar,21/04/2026,10-12,"5I,5P",Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,2,Anita
12,02-mar,21/04/2026,9-13,"3F,3G",Liceo Scientifico Einstein,Teramo,citizen science,3,Andreea
12,02-mar,21/04/2026,14-18,4DS,Liceo Pascal,Pompei,citizen science,4,Anita
12,02-mar,21/04/2026,14.30-16.30,"3D,5C",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,3,Anita
12,02-mar,21/04/2026,15-19,4H,Liceo Scientifico G. Galilei,Pescara,citizen science,2,Ida
12,02-mar,21/04/2026,15.30-17.30,"4A,5AM",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,3,Anita
12,03-mer,22/04/2026,15-19,"4ASA,4B",Liceo Scientifico G. Galilei,Pescara,citizen science,3,Andreea
12,04-gio,23/04/2026,8-10,"3BLSA,4ALSA",IIS Amedeo D'Aosta,L'Aquila,citizen science,3,Margherita
12,04-gio,23/04/2026,8-10,"3A,3C",IIS. E. Mattei,Vasto,citizen science,4,Margherita
12,04-gio,23/04/2026,8-10,"3O,4C",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,3,Margherita
12,04-gio,23/04/2026,10-12,"4G,4H",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,2,Ida
12,04-gio,23/04/2026,11-13,4GL,IIS PeanoRosa,Nereto,citizen science,4,Margherita
12,04-gio,23/04/2026,15-17,4BSA,Liceo Scientifico G. Galilei,Pescara,citizen science,4,Margherita
12,05-ven,24/04/2026,9-13,5D,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,4,Anita
12,05-ven,24/04/2026,14-18,"4AS,4AS-SAA",Liceo Pascal,Pompei,citizen science,3,Andreea
12,05-ven,24/04/2026,14-18,"4CU,5BS",Liceo Pascal,Pompei,citizen science,3,Andreea
13,01-lun,27/04/2026,9-13,"4D,4F",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,4,Anita
13,01-lun,27/04/2026,14-18,3InA,IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,5,Anita
13,01-lun,27/04/2026,15-17,"3BLSA,4ALSA",IIS Amedeo D'Aosta,L'Aquila,citizen science,4,Margherita
13,02-mar,28/04/2026,8-10,"3CI,4CI",IIS Amedeo D'Aosta,L'Aquila,citizen science,4,Andreea
13,02-mar,28/04/2026,8-10,"4G,4H",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,3,Anita
13,02-mar,28/04/2026,10-12,"3F,3G",Liceo Scientifico Einstein,Teramo,citizen science,4,Anita
13,02-mar,28/04/2026,10-12,5C,Liceo Scientifico G. Galilei,Pescara,orientamento e competenze,2,Andreea
13,02-mar,28/04/2026,11-13,"3D,5C",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,4,Ida
13,02-mar,28/04/2026,9-13,"4CU,5BS",Liceo Pascal,Pompei,citizen science,4,Andreea
