settimana,giorno,data,fascia,classi,scuola,citta,laboratorio,incontro,formatrice
5,01-lun,23/02/2026,10-12,3InA,IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,4,Andreea
5,01-lun,23/02/2026,10-12,"3CL,5AL",IIS PeanoRosa,Nereto,citizen science,2,Anita
5,01-lun,23/02/2026,10-12,3G,Liceo Scientifico Einstein,Teramo,citizen science,5,Ida
5,01-lun,23/02/2026,9-13,4AS-SAA,Liceo Pascal,Pompei,citizen science,3,Ida
5,01-lun,23/02/2026,9-13,4CU,Liceo Pascal,Pompei,citizen science,2,Anita
5,01-lun,23/02/2026,9-13,5AS,Liceo Pascal,Pompei,citizen science,4,Ida
5,01-lun,23/02/2026,9-13,4C,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,4,Anita
5,01-lun,23/02/2026,14-16,4BNO,Lic. Scientifico Bafile,L'Aquila,sensibilizzazione discriminazioni di genere,2,Anita
5,01-lun,23/02/2026,15-17,"4AS,4BU",Liceo Pascal,Pompei,citizen science,3,Margherita
5,01-lun,23/02/2026,15-17,4BS,Liceo Pascal,Pompei,citizen science,3,Anita
5,01-lun,23/02/2026,15-17,"4DS,5BS",Liceo Pascal,Pompei,citizen science,4,Anita
5,01-lun,23/02/2026,15-19,5C,Liceo Scientifico G. Galilei,Pescara,orientamento e competenze,2,Ida
5,01-lun,23/02/2026,15-19,4A,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,4,Anita
5,01-lun,23/02/2026,15.30-17.30,5C,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,2,Anita
5,02-mar,24/02/2026,8-10,4F,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,1,Anita
5,02-mar,24/02/2026,8-10,4G,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,2,Andreea
5,02-mar,24/02/2026,8-10,5G,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,3,Anita
5,02-mar,24/02/2026,8-10,3C,Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,5,Anita
5,02-mar,24/02/2026,10-12,3CI,IIS Amedeo D'Aosta,L'Aquila,citizen science,4,Ida
5,02-mar,24/02/2026,10-12,"3O,5F",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,3,Anita
5,02-mar,24/02/2026,10-12,"4C,4H",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,2,Andreea
5,02-mar,24/02/2026,10-12,"5H,5P",Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,1,Anita
5,02-mar,24/02/2026,14-16,5DNO,Lic. Scientifico Bafile,L'Aquila,citizen science,2,Ida
5,03-mer,25/02/2026,9-13,3A,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,3,Anita
5,03-mer,25/02/2026,14-16,5DI,IIS Amedeo D'Aosta,L'Aquila,presentazione manuali,1,Anita
5,03-mer,25/02/2026,14-16,"3D,5A",Liceo Scientifico Einstein,Teramo,presentazione manuali,1,Anita
5,03-mer,25/02/2026,14.30-16.30,5E,Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,4,Anita
5,03-mer,25/02/2026,15-19,5D,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,5,Ida
5,03-mer,25/02/2026,15.30-17.30,"5AM,5E",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,2,Anita
5,04-gio,26/02/2026,8-10,4GL,IIS PeanoRosa,Nereto,citizen science,3,Anita
5,04-gio,26/02/2026,8-10,5I,Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,1,Margherita
5,04-gio,26/02/2026,10-12,3AtMb,IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,4,Margherita
6,01-lun,02/03/2026,8-10,"3BLSA,4CI",IIS Amedeo D'Aosta,L'Aquila,citizen science,4,Anita
6,01-lun,02/03/2026,8-10,3CI,IIS Amedeo D'Aosta,L'Aquila,citizen science,5,Anita
6,01-lun,02/03/2026,8-10,"4ALSA,5ALSA",IIS Amedeo D'Aosta,L'Aquila,citizen science,4,Anita
6,01-lun,02/03/2026,8-10,"4MA,5AtIB",IIS L.Da Vinci-De Giorgio,Lanciano,presentazione manuali,1,Anita
6,01-lun,02/03/2026,8-10,5MBCH,IIS L.Da Vinci-De Giorgio,Lanciano,presentazione manuali,1,Andreea
