classe_id,classe_nome,scuola_nome,laboratorio_id,laboratorio_nome,incontro_num,formatrice_id,formatrice_nome,settimana,giorno_num,giorno_nome,fascia_num,fascia_nome,slot,data_ora,accorpata_con
23,4GL,IIS PeanoRosa,5,orientamento e competenze,2,3,Ida,2,2,Mercoledì,1,Mattino1,145,11/02/2026 09:00-11:00,5AL
24,5AL,IIS PeanoRosa,5,orientamento e competenze,2,3,Ida,2,2,Mercoledì,1,Mattino1,145,11/02/2026 09:00-11:00,4GL
58,4O,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2,1,Anita,2,2,Mercoledì,1,Mattino1,145,11/02/2026 09:00-11:00,5P
65,5P,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2,1,Anita,2,2,Mercoledì,1,Mattino1,145,11/02/2026 09:00-11:00,4O
8,5DNO,Lic. Scientifico Bafile,4,citizen science,1,1,Anita,2,2,Mercoledì,2,Mattino2,146,11/02/2026 11:00-13:00,
51,5C,Liceo Scientifico G. Galilei,5,orientamento e competenze,2,3,Ida,2,2,Mercoledì,2,Mattino2,146,11/02/2026 11:00-13:00,
38,4B,Liceo Scientifico Einstein,8,presentazione manuali,1,3,Ida,2,2,Mercoledì,3,Pomeriggio,147,11/02/2026 14:00-16:00,5G
42,5G,Liceo Scientifico Einstein,8,presentazione manuali,1,3,Ida,2,2,Mercoledì,3,Pomeriggio,147,11/02/2026 14:00-16:00,4B
9,3BLSA,IIS Amedeo D'Aosta,4,citizen science,2,3,Ida,2,5,Sabato,1,Mattino1,181,14/02/2026 09:00-11:00,5ALSA
49,4CSA,Liceo Scientifico G. Galilei,7,sensibilizzazione discriminazioni di genere,2,4,Margherita,2,5,Sabato,1,Mattino1,181,14/02/2026 09:00-11:00,4C
73,3A,Liceo Scientifico P. P. Pasolini,5,orientamento e competenze,1,1,Anita,2,5,Sabato,1,Mattino1,181,14/02/2026 09:00-11:00,3C
74,3C,Liceo Scientifico P. P. Pasolini,5,orientamento e competenze,1,1,Anita,2,5,Sabato,1,Mattino1,181,14/02/2026 09:00-11:00,3A
33,5BS,Liceo Pascal,4,citizen science,1,3,Ida,2,5,Sabato,2,Mattino2,182,14/02/2026 11:00-13:00,4CU
81,5E,Liceo Scientifico P. P. Pasolini,4,citizen science,1,2,Andreea,2,5,Sabato,3,Pomeriggio,183,14/02/2026 14:00-16:00,
14,5ALSA,IIS Amedeo D'Aosta,4,citizen science,2,3,Ida,3,0,Lunedì,1,Mattino1,181,16/02/2026 09:00-11:00,3BLSA
