settimana,giorno,fascia,fascia_generica,tipo,classe,classe2,scuola,laboratorio,formatrice,ore
8,mar,14-16,pomeriggio,insieme,3ESA,4BS,Liceo Pascal,orientamento e competenze,Anita,2
8,mar,8-10,mattino1,insieme,4B,4C,IIS. E. Mattei,orientamento e competenze,Andreea,2
8,mar,9-11,mattino2,insieme,3O,5I,Liceo Scientifico Leonardo da Vinci,sensibilizzazione discriminazioni di genere,Ida,2
8,mar,9-11,mattino2,insieme,5H,5P,Liceo Scientifico Leonardo da Vinci,orientamento e competenze,Margherita,2
8,mer,14-16,pomeriggio,insieme,4BU,5AS,Liceo Pascal,citizen science,Anita,2
8,mer,8-10,mattino1,insieme,4O,5O,Liceo Scientifico Leonardo da Vinci,sensibilizzazione discriminazioni di genere,Andreea,2
8,mer,9-11,mattino2,insieme,3F,4A,IIS Fermi,orientamento e competenze,Anita,2
8,ven,8-10,mattino1,insieme,3F,3G,Liceo Scientifico Einstein,citizen science,Anita,2
9,gio,14-16,pomeriggio,solo,5E,,Liceo Scientifico e Linguistico M.Curie,presentazione manuali,Andreea,2
9,gio,8-10,mattino1,solo,4F,,Liceo Scientifico Leonardo da Vinci,citizen science,Andreea,2
9,gio,8-10,mattino1,solo,4O,,Liceo Scientifico Leonardo da Vinci,orientamento e competenze,Ida,2
9,gio,9-11,mattino2,insieme,3CI,4ALSA,IIS Amedeo D'Aosta,citizen science,Margherita,2
9,gio,9-11,mattino2,insieme,4B,4H,Liceo Scientifico G. Galilei,citizen science,Anita,2
9,gio,9-11,mattino2,insieme,5F,5G,Liceo Scientifico Leonardo da Vinci,citizen science,Andreea,2
9,lun,14-16,pomeriggio,solo,3I,,Liceo Scientifico G. Galilei,presentazione manuali,Ida,2
9,lun,14-16,pomeriggio,insieme,4A,5E,Liceo Scientifico P. P. Pasolini,citizen science,Anita,2
9,lun,8-10,mattino1,insieme,5H,5O,Liceo Scientifico Leonardo da Vinci,sensibilizzazione discriminazioni di genere,Ida,2
9,mar,14-16,pomeriggio,insieme,3E,5D,Liceo Scientifico P. P. Pasolini,presentazione manuali,Ida,2
9,mar,8-10,mattino1,insieme,5DI,5ALSA,IIS Amedeo D'Aosta,presentazione manuali,Anita,2
9,mar,9-11,mattino2,insieme,3F,3G,Liceo Scientifico Einstein,citizen science,Anita,2
9,mer,14-16,pomeriggio,solo,5DNO,,Lic. Scientifico Bafile,citizen science,Anita,2
9,mer,14-16,pomeriggio,insieme,3AS,5AS,Liceo Pascal,presentazione manuali,Margherita,2
9,mer,8-10,mattino1,insieme,4GL,5AL,IIS PeanoRosa,citizen science,Andreea,2
9,ven,14-16,pomeriggio,solo,4BNO,,Lic. Scientifico Bafile,sensibilizzazione discriminazioni di genere,Andreea,2
9,ven,14-16,pomeriggio,insieme,4CU,5BS,Liceo Pascal,presentazione manuali,Anita,2
9,ven,14-16,pomeriggio,insieme,4BS,4DS,Liceo Pascal,citizen science,Margherita,2
9,ven,8-10,mattino1,insieme,3O,4G,Liceo Scientifico Leonardo da Vinci,citizen science,Andreea,2
10,gio,14-16,pomeriggio,solo,5AtIB,,IIS L.Da Vinci-De Giorgio,sensibilizzazione discriminazioni di genere,Ida,2
10,gio,14-16,pomeriggio,insieme,3A,5AM,Liceo Scientifico P. P. Pasolini,citizen science,Margherita,2
10,gio,8-10,mattino1,insieme,3D,5G,Liceo Scientifico Einstein,presentazione manuali,Ida,2
10,lun,8-10,mattino1,insieme,5B,5C,IIS. E. Mattei,sensibilizzazione discriminazioni di genere,Andreea,2
10,lun,9-11,mattino2,solo,4B,,IIS Fermi,orientamento e competenze,Anita,2
10,lun,9-11,mattino2,solo,3A,,IIS. E. Mattei,orientamento e competenze,Margherita,2
10,lun,9-11,mattino2,insieme,3D,5C,Liceo Scientifico e Linguistico M.Curie,citizen science,Andreea,2
10,mar,14-16,pomeriggio,insieme,3C,5D,Liceo Scientifico P. P. Pasolini,orientamento e competenze,Margherita,2
10,mar,8-10,mattino1,insieme,4AtA,5MBCH,IIS L.Da Vinci-De Giorgio,presentazione manuali,Anita,2
10,mer,14-16,pomeriggio,insieme,4C,5E,Liceo Scientifico P. P. Pasolini,citizen science,Andreea,2
10,mer,14-16,pomeriggio,insieme,3C,5E,Liceo Scientifico e Linguistico M.Curie,citizen science,Anita,2
10,mer,8-10,mattino1,insieme,4GL,5AL,IIS PeanoRosa,citizen science,Margherita,2
10,mer,9-11,mattino2,insieme,4B,4C,IIS. E. Mattei,orientamento e competenze,Andreea,2
10,mer,9-11,mattino2,insieme,5F,5G,Liceo Scientifico Leonardo da Vinci,citizen science,Anita,2
10,ven,14-16,pomeriggio,insieme,4AS-SAA,4CU,Liceo Pascal,citizen science,Margherita,2
10,ven,14-16,pomeriggio,insieme,4BU,5AS,Liceo Pascal,citizen science,Ida,2
10,ven,8-10,mattino1,insieme,4D,4G,Liceo Scientifico Leonardo da Vinci,citizen science,Margherita,2
11,gio,14-16,pomeriggio,solo,5DNO,,Lic. Scientifico Bafile,citizen science,Margherita,2
11,gio,14-16,pomeriggio,insieme,3E,5E,Liceo Scientifico P. P. Pasolini,orientamento e competenze,Ida,2
11,gio,8-10,mattino1,insieme,3A,3C,IIS. E. Mattei,presentazione manuali,Anita,2
11,gio,9-11,mattino2,insieme,4MA,5AtIB,IIS L.Da Vinci-De Giorgio,orientamento e competenze,Andreea,2
11,gio,9-11,mattino2,insieme,3F,3G,Liceo Scientifico Einstein,citizen science,Ida,2
11,lun,14-16,pomeriggio,insieme,3A,5AM,Liceo Scientifico P. P. Pasolini,citizen science,Anita,2
11,lun,8-10,mattino1,insieme,4ASA,4BSA,Liceo Scientifico G. Galilei,citizen science,Ida,2
11,mar,14-16,pomeriggio,insieme,3I,4CSA,Liceo Scientifico G. Galilei,orientamento e competenze,Ida,2
11,mar,8-10,mattino1,insieme,3F,4B,IIS Fermi,sensibilizzazione discriminazioni di genere pt.2,Margherita,2
11,mar,8-10,mattino1,insieme,4B,4C,IIS. E. Mattei,citizen science,Ida,2
11,mar,8-10,mattino1,insieme,3O,4O,Liceo Scientifico Leonardo da Vinci,sensibilizzazione discriminazioni di genere,Anita,2
11,mar,9-11,mattino2,insieme,5DI,5ALSA,IIS Amedeo D'Aosta,orientamento e competenze,Ida,2
11,mar,9-11,mattino2,insieme,3C,5F,IIS Fermi,orientamento e competenze,Margherita,2
11,mer,14-16,pomeriggio,insieme,3DSA,5C,Liceo Scientifico G. Galilei,orientamento e competenze,Ida,2
11,ven,14-16,pomeriggio,insieme,4BS,4CU,Liceo Pascal,citizen science,Margherita,2
11,ven,14-16,pomeriggio,insieme,4BU,5AS,Liceo Pascal,citizen science,Ida,2
11,ven,8-10,mattino1,insieme,3AtMb,3InA,IIS L.Da Vinci-De Giorgio,citizen science,Andreea,2
11,ven,8-10,mattino1,insieme,4C,4G,Liceo Scientifico Leonardo da Vinci,presentazione manuali,Margherita,2
11,ven,8-10,mattino1,solo,3A,,Liceo Scientifico e Linguistico M.Curie,orientamento e competenze,Ida,2
12,gio,14-16,pomeriggio,insieme,3E,5D,Liceo Scientifico P. P. Pasolini,sensibilizzazione discriminazioni di genere,Andreea,2
12,gio,8-10,mattino1,insieme,3I,5C,Liceo Scientifico G. Galilei,sensibilizzazione discriminazioni di genere,Andreea,2
