settimana,classe_id,classe,scuola,lab_id,laboratorio,num_incontri_lab
5,4,4C,IIS. E. Mattei,5,orientamento e competenze,2
6,4,4C,IIS. E. Mattei,5,orientamento e competenze,2
7,4,4C,IIS. E. Mattei,4,citizen science,5
11,4,4C,IIS. E. Mattei,4,citizen science,5
13,4,4C,IIS. E. Mattei,8,presentazione manuali,1
14,4,4C,IIS. E. Mattei,4,citizen science,5
15,4,4C,IIS. E. Mattei,4,citizen science,5
3,5,5B,IIS. E. Mattei,7,sensibilizzazione discriminazioni di genere,2
6,5,5B,IIS. E. Mattei,7,sensibilizzazione discriminazioni di genere,2
12,5,5B,IIS. E. Mattei,5,orientamento e competenze,2
13,5,5B,IIS. E. Mattei,5,orientamento e competenze,2
14,5,5B,IIS. E. Mattei,8,presentazione manuali,1
1,6,5C,IIS. E. Mattei,7,sensibilizzazione discriminazioni di genere,2
2,6,5C,IIS. E. Mattei,5,orientamento e competenze,2
4,6,5C,IIS. E. Mattei,7,sensibilizzazione discriminazioni di genere,2
7,6,5C,IIS. E. Mattei,5,orientamento e competenze,2
11,6,5C,IIS. E. Mattei,8,presentazione manuali,1
4,7,4BNO,Lic. Scientifico Bafile,7,sensibilizzazione discriminazioni di genere,2
5,7,4BNO,Lic. Scientifico Bafile,5,orientamento e competenze,2
7,7,4BNO,Lic. Scientifico Bafile,7,sensibilizzazione discriminazioni di genere,2
11,7,4BNO,Lic. Scientifico Bafile,5,orientamento e competenze,2
15,7,4BNO,Lic. Scientifico Bafile,8,presentazione manuali,1
6,8,5DNO,Lic. Scientifico Bafile,4,citizen science,5
7,8,5DNO,Lic. Scientifico Bafile,4,citizen science,5
8,8,5DNO,Lic. Scientifico Bafile,4,citizen science,5
9,8,5DNO,Lic. Scientifico Bafile,5,orientamento e competenze,2
10,8,5DNO,Lic. Scientifico Bafile,8,presentazione manuali,1
13,8,5DNO,Lic. Scientifico Bafile,4,citizen science,5
14,8,5DNO,Lic. Scientifico Bafile,4,citizen science,5
15,8,5DNO,Lic. Scientifico Bafile,5,orientamento e competenze,2
1,25,3AS,Liceo Pascal,5,orientamento e competenze,2
4,25,3AS,Liceo Pascal,5,orientamento e competenze,2
7,25,3AS,Liceo Pascal,8,presentazione manuali,1
4,26,3ESA,Liceo Pascal,5,orientamento e competenze,2
9,26,3ESA,Liceo Pascal,5,orientamento e competenze,2
15,26,3ESA,Liceo Pascal,8,presentazione manuali,1
3,29,4AS,Liceo Pascal,5,orientamento e competenze,2
4,29,4AS,Liceo Pascal,4,citizen science,5
5,29,4AS,Liceo Pascal,4,citizen science,5
7,29,4AS,Liceo Pascal,4,citizen science,5
8,29,4AS,Liceo Pascal,4,citizen science,5
9,29,4AS,Liceo Pascal,4,citizen science,5
12,29,4AS,Liceo Pascal,5,orientamento e competenze,2
14,29,4AS,Liceo Pascal,8,presentazione manuali,1
1,27,4AS-SAA,Liceo Pascal,8,presentazione manuali,1
3,27,4AS-SAA,Liceo Pascal,4,citizen science,5
4,27,4AS-SAA,Liceo Pascal,4,citizen science,5
7,27,4AS-SAA,Liceo Pascal,4,citizen science,5
10,27,4AS-SAA,Liceo Pascal,4,citizen science,5
11,27,4AS-SAA,Liceo Pascal,4,citizen science,5
1,28,4BS,Liceo Pascal,4,citizen science,5
3,28,4BS,Liceo Pascal,4,citizen science,5
