Settimana,Giorno,Fascia Oraria,Data e Ora,Classi,N. Classi,Scuola,Laboratorio,Formatrice,Accorpamento
4,Lunedì,Pomeriggio,23/02/2026 14:00-16:00,5DNO,1,Lic. Scientifico Bafile,citizen science,Anita,No
4,Lunedì,Pomeriggio,23/02/2026 14:00-16:00,"4AS-SAA, 5BS",2,Liceo Pascal,citizen science,Andreea,Sì
4,Lunedì,Pomeriggio,23/02/2026 14:00-16:00,"4AS, 4BS",2,Liceo Pascal,citizen science,Margherita,Sì
4,Mercoledì,Mattino1,25/02/2026 09:00-11:00,"5ALSA, 5DI",2,IIS Amedeo D'Aosta,orientamento e competenze,Ida,Sì
4,Mercoledì,Mattino1,25/02/2026 09:00-11:00,"3C, 3D",2,Liceo Scientifico e Linguistico M.Curie,citizen science,Anita,Sì
4,Mercoledì,Mattino2,25/02/2026 11:00-13:00,"3CL, 3GL",2,IIS PeanoRosa,citizen science,Anita,Sì
4,Mercoledì,Mattino2,25/02/2026 11:00-13:00,"3F, 3G",2,Liceo Scientifico Einstein,citizen science,Ida,Sì
4,Mercoledì,Pomeriggio,25/02/2026 14:00-16:00,"5AM, 5C",2,Liceo Scientifico P. P. Pasolini,citizen science,Anita,Sì
4,Giovedì,Mattino1,26/02/2026 09:00-11:00,5F,1,Liceo Scientifico Leonardo da Vinci,sensibilizzazione discriminazioni di genere pt.2,Anita,No
4,Giovedì,Mattino1,26/02/2026 09:00-11:00,"3C, 3F, 4A, 4B, 5A, 5F",6,IIS Fermi,sensibilizzazione discriminazioni di genere pt.2,Margherita,Sì
4,Giovedì,Mattino2,26/02/2026 11:00-13:00,"5C, 5E",2,Liceo Scientifico e Linguistico M.Curie,citizen science,Anita,Sì
4,Giovedì,Pomeriggio,26/02/2026 14:00-16:00,"3A, 4A, 4C",3,Liceo Scientifico P. P. Pasolini,presentazione manuali,Anita,Sì
4,Venerdì,Mattino2,27/02/2026 11:00-13:00,"3BLSA, 4ALSA",2,IIS Amedeo D'Aosta,presentazione manuali,Ida,Sì
5,Lunedì,Mattino2,02/03/2026 11:00-13:00,"3A, 3C, 3D",3,Liceo Scientifico e Linguistico M.Curie,presentazione manuali,Andreea,Sì
5,Martedì,Mattino1,03/03/2026 09:00-11:00,"5ALSA, 5DI",2,IIS Amedeo D'Aosta,orientamento e competenze,Ida,Sì
5,Martedì,Pomeriggio,03/03/2026 14:00-16:00,"4AS, 4BS",2,Liceo Pascal,citizen science,Ida,Sì
5,Martedì,Pomeriggio,03/03/2026 14:00-16:00,"5AM, 5E",2,Liceo Scientifico P. P. Pasolini,citizen science,Anita,Sì
5,Mercoledì,Mattino1,04/03/2026 09:00-11:00,"3CL, 3GL",2,IIS PeanoRosa,presentazione manuali,Anita,Sì
5,Mercoledì,Pomeriggio,04/03/2026 14:00-16:00,5DNO,1,Lic. Scientifico Bafile,citizen science,Anita,No
5,Mercoledì,Pomeriggio,04/03/2026 14:00-16:00,"3AtMb, 3InA",2,IIS L.Da Vinci-De Giorgio,citizen science,Ida,Sì
5,Giovedì,Mattino2,05/03/2026 11:00-13:00,"5F, 5G",2,Liceo Scientifico Leonardo da Vinci,presentazione manuali,Anita,Sì
5,Venerdì,Mattino1,06/03/2026 09:00-11:00,"3BLSA, 4CI",2,IIS Amedeo D'Aosta,citizen science,Anita,Sì
5,Venerdì,Mattino1,06/03/2026 09:00-11:00,"5C, 5E",2,Liceo Scientifico e Linguistico M.Curie,citizen science,Andreea,Sì
5,Venerdì,Mattino2,06/03/2026 11:00-13:00,"4BSA, 4H",2,Liceo Scientifico G. Galilei,citizen science,Anita,Sì
5,Venerdì,Pomeriggio,06/03/2026 14:00-16:00,"4AS-SAA, 4DS",2,Liceo Pascal,citizen science,Anita,Sì
5,Venerdì,Pomeriggio,06/03/2026 14:00-16:00,"5AS, 5BS",2,Liceo Pascal,citizen science,Andreea,Sì
6,Lunedì,Mattino2,09/03/2026 11:00-13:00,"3O, 4H",2,Liceo Scientifico Leonardo da Vinci,citizen science,Anita,Sì
6,Lunedì,Mattino2,09/03/2026 11:00-13:00,"5F, 5G",2,Liceo Scientifico Leonardo da Vinci,citizen science,Andreea,Sì
6,Lunedì,Pomeriggio,09/03/2026 14:00-16:00,"4CU, 4DS",2,Liceo Pascal,citizen science,Margherita,Sì
6,Martedì,Mattino1,10/03/2026 09:00-11:00,"4C, 4D",2,Liceo Scientifico Leonardo da Vinci,citizen science,Andreea,Sì
6,Martedì,Mattino2,10/03/2026 11:00-13:00,"3A, 3C",2,IIS. E. Mattei,citizen science,Anita,Sì
6,Martedì,Mattino2,10/03/2026 11:00-13:00,"3F, 3G",2,Liceo Scientifico Einstein,citizen science,Ida,Sì
6,Mercoledì,Mattino1,11/03/2026 09:00-11:00,"4BSA, 4H",2,Liceo Scientifico G. Galilei,citizen science,Anita,Sì
6,Mercoledì,Mattino2,11/03/2026 11:00-13:00,"3CL, 3GL",2,IIS PeanoRosa,citizen science,Anita,Sì
6,Giovedì,Mattino1,12/03/2026 09:00-11:00,"4F, 4G",2,Liceo Scientifico Leonardo da Vinci,citizen science,Margherita,Sì
6,Giovedì,Pomeriggio,12/03/2026 14:00-16:00,"4BNO, 5DNO",2,Lic. Scientifico Bafile,orientamento e competenze,Andreea,Sì
6,Giovedì,Pomeriggio,12/03/2026 14:00-16:00,"4AS-SAA, 4BU",2,Liceo Pascal,citizen science,Anita,Sì
6,Venerdì,Mattino1,13/03/2026 09:00-11:00,"3C, 3D",2,Liceo Scientifico e Linguistico M.Curie,citizen science,Margherita,Sì
6,Venerdì,Pomeriggio,13/03/2026 14:00-16:00,3CI,1,IIS Amedeo D'Aosta,citizen science,Margherita,No
6,Venerdì,Pomeriggio,13/03/2026 14:00-16:00,"4ASA, 4B",2,Liceo Scientifico G. Galilei,citizen science,Anita,Sì
6,Venerdì,Pomeriggio,13/03/2026 14:00-16:00,"4A, 5E",2,Liceo Scientifico P. P. Pasolini,citizen science,Andreea,Sì
7,Lunedì,Mattino1,16/03/2026 09:00-11:00,"4ASA, 4B",2,Liceo Scientifico G. Galilei,citizen science,Anita,Sì
7,Lunedì,Pomeriggio,16/03/2026 14:00-16:00,"5C, 5E",2,Liceo Scientifico e Linguistico M.Curie,citizen science,Margherita,Sì
7,Lunedì,Pomeriggio,16/03/2026 14:00-16:00,"4C, 5E",2,Liceo Scientifico P. P. Pasolini,citizen science,Andreea,Sì
7,Martedì,Mattino2,17/03/2026 11:00-13:00,"3BLSA, 3CI",2,IIS Amedeo D'Aosta,citizen science,Ida,Sì
7,Martedì,Mattino2,17/03/2026 11:00-13:00,"3CL, 3GL",2,IIS PeanoRosa,citizen science,Anita,Sì
7,Martedì,Pomeriggio,17/03/2026 14:00-16:00,"4BNO, 5DNO",2,Lic. Scientifico Bafile,orientamento e competenze,Ida,Sì
7,Martedì,Pomeriggio,17/03/2026 14:00-16:00,"5C, 5D",2,Liceo Scientifico P. P. Pasolini,citizen science,Anita,Sì
7,Giovedì,Mattino2,19/03/2026 11:00-13:00,"3AtMb, 3InA",2,IIS L.Da Vinci-De Giorgio,citizen science,Anita,Sì
7,Giovedì,Mattino2,19/03/2026 11:00-13:00,"3F, 3G",2,Liceo Scientifico Einstein,citizen science,Ida,Sì
7,Giovedì,Mattino2,19/03/2026 11:00-13:00,"4C, 4H",2,Liceo Scientifico Leonardo da Vinci,citizen science,Andreea,Sì
7,Giovedì,Pomeriggio,19/03/2026 14:00-16:00,"4ALSA, 4CI",2,IIS Amedeo D'Aosta,citizen science,Andreea,Sì
7,Giovedì,Pomeriggio,19/03/2026 14:00-16:00,"4BU, 4CU",2,Liceo Pascal,citizen science,Anita,Sì
7,Venerdì,Mattino2,20/03/2026 11:00-13:00,"4D, 4F",2,Liceo Scientifico Leonardo da Vinci,presentazione manuali,Andreea,Sì
8,Lunedì,Mattino2,23/03/2026 11:00-13:00,"3O, 4G",2,Liceo Scientifico Leonardo da Vinci,citizen science,Anita,Sì
8,Lunedì,Pomeriggio,23/03/2026 14:00-16:00,"5C, 5E",2,Liceo Scientifico e Linguistico M.Curie,citizen science,Margherita,Sì
8,Martedì,Pomeriggio,24/03/2026 14:00-16:00,"3CI, 4ALSA",2,IIS Amedeo D'Aosta,citizen science,Ida,Sì
8,Martedì,Pomeriggio,24/03/2026 14:00-16:00,"4A, 4C",2,Liceo Scientifico P. P. Pasolini,citizen science,Anita,Sì
8,Mercoledì,Pomeriggio,25/03/2026 14:00-16:00,"4BNO, 5DNO",2,Lic. Scientifico Bafile,presentazione manuali,Anita,Sì
8,Giovedì,Pomeriggio,26/03/2026 14:00-16:00,"4DS, 5AS",2,Liceo Pascal,citizen science,Anita,Sì
8,Venerdì,Mattino2,27/03/2026 11:00-13:00,"3C, 4B",2,IIS. E. Mattei,citizen science,Anita,Sì
9,Lunedì,Mattino2,30/03/2026 11:00-13:00,"3AtMb, 3InA",2,IIS L.Da Vinci-De Giorgio,citizen science,Ida,Sì
9,Lunedì,Mattino2,30/03/2026 11:00-13:00,"4ASA, 4B",2,Liceo Scientifico G. Galilei,citizen science,Anita,Sì
9,Martedì,Mattino2,31/03/2026 11:00-13:00,"3A, 4C",2,IIS. E. Mattei,citizen science,Anita,Sì
9,Mercoledì,Mattino2,01/04/2026 11:00-13:00,"3F, 3G",2,Liceo Scientifico Einstein,citizen science,Ida,Sì
9,Mercoledì,Pomeriggio,01/04/2026 14:00-16:00,"4AS, 4BS, 4BU, 4CU",4,Liceo Pascal,citizen science,Anita,Sì
10,Martedì,Mattino2,14/04/2026 11:00-13:00,"3A, 3C",2,IIS. E. Mattei,orientamento e competenze,Anita,Sì
10,Mercoledì,Mattino2,15/04/2026 11:00-13:00,"3CI, 4ALSA",2,IIS Amedeo D'Aosta,citizen science,Ida,Sì
10,Mercoledì,Mattino2,15/04/2026 11:00-13:00,"4BSA, 4H",2,Liceo Scientifico G. Galilei,citizen science,Anita,Sì
10,Mercoledì,Pomeriggio,15/04/2026 14:00-16:00,"5AM, 5E",2,Liceo Scientifico P. P. Pasolini,citizen science,Anita,Sì
10,Giovedì,Mattino2,16/04/2026 11:00-13:00,"4B, 4C",2,IIS. E. Mattei,citizen science,Anita,Sì
10,Giovedì,Mattino2,16/04/2026 11:00-13:00,"3CL, 3GL",2,IIS PeanoRosa,citizen science,Andreea,Sì
10,Venerdì,Mattino1,17/04/2026 09:00-11:00,"3AtMb, 3InA",2,IIS L.Da Vinci-De Giorgio,citizen science,Anita,Sì
10,Venerdì,Mattino2,17/04/2026 11:00-13:00,"3BLSA, 4CI",2,IIS Amedeo D'Aosta,citizen science,Anita,Sì
